,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
50,Summer Of '69,['Bryan Adams'],spotify:track:5ROeX4Hi9XoBT5hmBR1xra,0.505,0.71,2,-10.853,1,0.0371,0.0115,2.58e-06,0.0977,0.771,138.907,5ROeX4Hi9XoBT5hmBR1xra,spotify:track:5ROeX4Hi9XoBT5hmBR1xra,216973,4
51,Take Me Out,['Franz Ferdinand'],spotify:track:7kw6yVmdZGuRcWGi4adXYT,0.273,0.665,9,-8.795,1,0.0382,0.000458,0.000893,0.117,0.514,104.656,7kw6yVmdZGuRcWGi4adXYT,spotify:track:7kw6yVmdZGuRcWGi4adXYT,239027,4
52,Rockstar,['Nickelback'],spotify:track:2cKCSngj4rdMI9K1deFJOe,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.073,2cKCSngj4rdMI9K1deFJOe,spotify:track:2cKCSngj4rdMI9K1deFJOe,252040,4
53,Bohemian Rhapsody,['Queen'],spotify:track:1yslmgUcM2AOkOPS4sl3QV,0.39,0.293,0,-14.274,0,0.0537,0.16,0.0,0.202,0.203,143.956,1yslmgUcM2AOkOPS4sl3QV,spotify:track:1yslmgUcM2AOkOPS4sl3QV,355107,4
54,Seven Nation Army,['The White Stripes'],spotify:track:3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,3m6KkYKdnbffMpGd9Pm9FP,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,231920,4
55,Better Together,['Jack Johnson'],spotify:track:0rkzM1FJh4xWCTF1NwDGYN,0.868,0.347,5,-9.529,1,0.0536,0.308,2e-05,0.11,0.659,110.059,0rkzM1FJh4xWCTF1NwDGYN,spotify:track:0rkzM1FJh4xWCTF1NwDGYN,207680,4
56,The Passenger,['Iggy Pop'],spotify:track:3yP0cohcr97BUNJcgvmSVg,0.5,0.846,0,-8.098,1,0.0457,0.0797,0.0,0.241,0.738,134.937,3yP0cohcr97BUNJcgvmSVg,spotify:track:3yP0cohcr97BUNJcgvmSVg,284067,4
57,Best of You,['Foo Fighters'],spotify:track:4nUM7pGcTUK2pY1d2LybrT,0.37,0.944,1,-4.979,0,0.0767,0.00701,2.9e-06,0.135,0.345,130.315,4nUM7pGcTUK2pY1d2LybrT,spotify:track:4nUM7pGcTUK2pY1d2LybrT,256600,4
58,Smooth Criminal - Radio Edit,['Michael Jackson'],spotify:track:1mzn6CQ71eUmgCSfbVmicN,0.856,0.958,1,-6.078,1,0.0729,0.172,0.557,0.318,0.605,118.198,1mzn6CQ71eUmgCSfbVmicN,spotify:track:1mzn6CQ71eUmgCSfbVmicN,257240,4
59,Feel,['Robbie Williams'],spotify:track:2Ms33RTRCT6gArrpcrPxmo,0.599,0.732,5,-6.843,1,0.026,0.0145,0.000467,0.143,0.295,97.997,2Ms33RTRCT6gArrpcrPxmo,spotify:track:2Ms33RTRCT6gArrpcrPxmo,263867,4
60,Come As You Are,['Nirvana'],spotify:track:5r35Zd5Onw3aV3Gm9XdgtI,0.5,0.832,4,-6.281,0,0.0325,8.36e-05,0.00655,0.0924,0.553,120.066,5r35Zd5Onw3aV3Gm9XdgtI,spotify:track:5r35Zd5Onw3aV3Gm9XdgtI,219027,4
61,Where Is The Love?,['Black Eyed Peas'],spotify:track:0uqPG793dkDDN7sCUJJIVC,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,0uqPG793dkDDN7sCUJJIVC,spotify:track:0uqPG793dkDDN7sCUJJIVC,272533,4
62,"Harder, Better, Faster, Stronger",['Daft Punk'],spotify:track:2cJz1loJp5EZM6shmQpLZN,0.814,0.73,6,-8.876,0,0.149,0.0392,0.00333,0.343,0.646,123.494,2cJz1loJp5EZM6shmQpLZN,spotify:track:2cJz1loJp5EZM6shmQpLZN,226413,4
63,Hide and Seek,['Imogen Heap'],spotify:track:121so7t3AeX6nLMvxy9ZP9,0.452,0.179,9,-11.165,1,0.0824,0.899,0.0,0.178,0.103,121.488,121so7t3AeX6nLMvxy9ZP9,spotify:track:121so7t3AeX6nLMvxy9ZP9,268867,4
64,Clint Eastwood,['Gorillaz'],spotify:track:1RKUoGiLEbcXN4GY4spQDx,0.663,0.694,10,-8.627,0,0.172,0.0249,0.0,0.0698,0.524,167.964,1RKUoGiLEbcXN4GY4spQDx,spotify:track:1RKUoGiLEbcXN4GY4spQDx,340920,4
65,Fortunate Son,['Creedence Clearwater Revival'],spotify:track:0Ko737UNjXO17LK4Urdlwo,0.623,0.529,0,-12.419,1,0.0353,0.17,0.0201,0.489,0.603,132.74,0Ko737UNjXO17LK4Urdlwo,spotify:track:0Ko737UNjXO17LK4Urdlwo,138400,4
66,Lemon Tree,['Fools Garden'],spotify:track:1yN2z5XVtaAOYGdeEqEuqd,0.668,0.478,1,-8.849,1,0.0447,0.669,0.0,0.11,0.678,143.155,1yN2z5XVtaAOYGdeEqEuqd,spotify:track:1yN2z5XVtaAOYGdeEqEuqd,191027,4
67,Technologic,['Daft Punk'],spotify:track:1iNeZGJsoC0D7ZyJTdIbDS,0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,1iNeZGJsoC0D7ZyJTdIbDS,spotify:track:1iNeZGJsoC0D7ZyJTdIbDS,284280,4
68,Teardrop,['Massive Attack'],spotify:track:67Hna13dNDkZvBpTXRIaOJ,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,67Hna13dNDkZvBpTXRIaOJ,spotify:track:67Hna13dNDkZvBpTXRIaOJ,330773,4
69,I Still Haven't Found What I'm Looking For,['U2'],spotify:track:3NldGYmhDLK98kOOo4J1lg,0.564,0.84,1,-6.116,1,0.0343,0.012,0.00339,0.0949,0.663,100.649,3NldGYmhDLK98kOOo4J1lg,spotify:track:3NldGYmhDLK98kOOo4J1lg,277333,4
70,I Will Follow You into the Dark,['Death Cab for Cutie'],spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,3kZC0ZmFWrEHdUCmUqlvgZ,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,189187,4
71,Everybody Hurts,['R.E.M.'],spotify:track:28AZM08WStiEXfqN065BvN,0.254,0.383,2,-8.036,1,0.0282,0.614,0.0237,0.172,0.178,188.2,28AZM08WStiEXfqN065BvN,spotify:track:28AZM08WStiEXfqN065BvN,318240,3
